"gene","waldStat_BA","pvalue_BA","padj_BA","fcMedian_BA","waldStat_AB","pvalue_AB","padj_AB","fcMedian_AB","max_padj","mean_waldStat","mean_fcMedian","both_positive_fc","both_negative_fc","consistent_direction"
"COL3A1",491.840388517432,0,0,0.796649940043656,497.744046240877,0,0,0.820705480843951,0,494.792217379155,0.808677710443804,TRUE,FALSE,TRUE
"COL5A2",147.759301432765,0,0,0.618740669242805,148.726264842809,0,0,0.717401755667386,0,148.242783137787,0.668071212455095,TRUE,FALSE,TRUE
"CSTB",105.036007199248,0,0,0.974681541381795,100.018385352098,0,0,0.766811898937895,0,102.527196275673,0.870746720159845,TRUE,FALSE,TRUE
"CTSB",1732.80292898683,0,0,1.05114969457416,1689.48029264207,0,0,1.02005458871505,0,1711.14161081445,1.0356021416446,TRUE,FALSE,TRUE
"CTSK",1357.27248185585,0,0,1.52266460539337,1449.61858689806,0,0,1.69134322639556,0,1403.44553437695,1.60700391589447,TRUE,FALSE,TRUE
"CTSL",439.668447285465,0,0,1.22023988614923,430.023973171996,0,0,1.13475069029436,0,434.846210228731,1.1774952882218,TRUE,FALSE,TRUE
"CYGB",140.425611014879,0,0,0.960770764563239,132.031675548075,0,0,0.974376445088412,0,136.228643281477,0.967573604825825,TRUE,FALSE,TRUE
"CYP1B1",593.078258964359,0,0,1.77150205488077,576.31881945917,0,0,1.60105526218308,0,584.698539211764,1.68627865853193,TRUE,FALSE,TRUE
"CYSTM1",541.407102365561,0,0,1.55565218923465,557.420516059407,0,0,1.61318686731734,0,549.413809212484,1.58441952827599,TRUE,FALSE,TRUE
"DCN",1205.72674764688,0,0,0.856183901427665,1155.58350218967,0,0,0.898714628163228,0,1180.65512491828,0.877449264795446,TRUE,FALSE,TRUE
"DHRS7",255.308903341744,0,0,1.30911060820272,165.846587104841,0,0,1.10378749669649,0,210.577745223292,1.2064490524496,TRUE,FALSE,TRUE
"DUT",138.055218516955,0,0,0.979967168963084,89.7120253836611,0,0,0.874717767503789,0,113.883621950308,0.927342468233437,TRUE,FALSE,TRUE
"ENPP1",102.28573919782,0,0,1.76560310722108,101.689614198133,0,0,1.71274973381153,0,101.987676697977,1.73917642051631,TRUE,FALSE,TRUE
